step,x,y
1,1,-1
2,1.0,-1.0
3,0.99,-0.999
4,0.963,-0.996
5,0.925,-0.979
6,0.888,-0.952
7,0.86,-0.917
8,0.835,-0.855
9,0.832,-0.811
10,0.84,-0.769
11,0.863,-0.721
12,0.884,-0.695
13,0.934,-0.651
14,0.972,-0.631
15,1.003,-0.618
16,1.021,-0.609
17,1.044,-0.589
18,1.075,-0.549
19,1.092,-0.518
20,1.104,-0.475
21,1.103,-0.409
22,1.088,-0.367
23,1.051,-0.314
24,1.023,-0.28
25,0.973,-0.222
26,0.932,-0.168
27,0.911,-0.114
28,0.908,-0.068
29,0.915,-0.023
30,0.939,0.038
31,0.966,0.107
32,0.973,0.142
33,0.966,0.217
34,0.94,0.268
35,0.912,0.301
36,0.856,0.335
37,0.784,0.347
38,0.742,0.343
39,0.685,0.338
40,0.64,0.34
41,0.577,0.357
42,0.535,0.373
43,0.495,0.391
44,0.454,0.406
45,0.411,0.415
46,0.347,0.43
47,0.317,0.434
48,0.271,0.442
49,0.235,0.446
50,0.202,0.452
51,0.142,0.464
