episode_number,success_episode,episode_reward,episode_step,ego_safety_score,timelapse
1,False,-248,46,2.1739130434782594,9.973117351531982
2,False,-183,19,100.0,4.150000095367432
3,False,-200,11,0.0,2.478792667388916
4,False,-217,34,58.82352941176471,7.371816873550415
5,False,-203,18,44.44444444444444,3.900522470474243
6,False,-201,18,38.888888888888886,4.2164530754089355
7,False,-206,22,54.54545454545454,5.150447607040405
8,False,-318,163,82.20858895705521,38.315319538116455
9,False,-148,63,60.31746031746032,14.862684726715088
10,False,-202,15,53.333333333333336,3.520357131958008
11,False,-449,250,77.60000000000001,56.352142333984375
12,False,-222,81,56.790123456790134,18.236477613449097
13,False,-164,64,45.3125,15.149918556213379
