step,x,y
1,1.0,-1.0
2,0.979,-1.0
3,0.939,-0.99
4,0.9,-0.959
5,0.88,-0.921
6,0.875,-0.887
7,0.878,-0.84
8,0.881,-0.799
9,0.89,-0.743
10,0.891,-0.698
11,0.895,-0.648
12,0.905,-0.607
13,0.914,-0.554
14,0.922,-0.515
15,0.935,-0.466
16,0.948,-0.425
17,0.962,-0.377
18,0.974,-0.338
19,0.986,-0.291
20,0.997,-0.255
21,1.005,-0.202
22,1.004,-0.162
23,0.996,-0.113
24,0.987,-0.074
25,0.973,-0.026
26,0.953,0.016
27,0.937,0.056
28,0.919,0.09
29,0.897,0.139
30,0.882,0.173
31,0.857,0.217
32,0.835,0.248
33,0.8,0.287
34,0.772,0.314
35,0.73,0.346
36,0.687,0.372
37,0.65,0.389
38,0.603,0.409
39,0.563,0.428
40,0.514,0.444
41,0.476,0.451
42,0.428,0.459
43,0.389,0.47
44,0.337,0.479
45,0.298,0.485
46,0.248,0.496
47,0.208,0.508
48,0.161,0.521
49,0.995,-1.0
1,1.0,-1.0
2,0.973,-0.997
3,0.929,-0.976
4,0.898,-0.939
5,0.883,-0.896
6,0.875,-0.855
7,0.871,-0.809
8,0.871,-0.761
9,0.874,-0.715
10,0.884,-0.669
